,priority,rule,source,tags,time,output_fields.container.id,output_fields.container.image.repository,output_fields.evt.time,output_fields.fd.name,output_fields.proc.aname[2],output_fields.proc.aname[3],output_fields.proc.aname[4],output_fields.proc.cmdline,output_fields.proc.name,output_fields.proc.pname,output_fields.user.loginuid,output_fields.user.name,output_fields.proc.pcmdline,output_fields.evt.arg.uid,output_fields.user.uid,output_fields.container.name,output_fields.proc.tty,output_fields.container.image.tag,output_fields.container.mounts,is_run_as_root,is_bash_in_args,is_sh_in_args,is_passwd_in_open_args,is_proc_in_open_args,n_failed_syscalls
401,Error,Write below etc,syscall,"['filesystem', 'mitre_persistence']",2021-12-11T09:40:02.166368651Z,host,,1639215602166368651,/etc/pcp/pmlogger/lock,,,,pmlogctl /usr/bin/pmlogctl -m check,pmlogctl,systemd,-1,root,systemd rhgb --switched-root --system --deserialize 31,,,,,,,1,0,0,0,0,0
402,Error,Write below etc,syscall,"['filesystem', 'mitre_persistence']",2021-12-11T09:45:02.224746990Z,host,,1639215902224746990,/etc/pcp/pmie/lock,,,,pmiectl /usr/bin/pmiectl -m check,pmiectl,systemd,-1,root,systemd rhgb --switched-root --system --deserialize 31,,,,,,,1,0,0,0,0,0
403,Error,Write below etc,syscall,"['filesystem', 'mitre_persistence']",2021-12-11T09:45:02.233980860Z,host,,1639215902233980860,/etc/pcp/pmlogger/lock,,,,pmlogctl /usr/bin/pmlogctl -m check,pmlogctl,systemd,-1,root,systemd rhgb --switched-root --system --deserialize 31,,,,,,,1,0,0,0,0,0
404,Error,Write below etc,syscall,"['filesystem', 'mitre_persistence']",2021-12-11T09:50:02.120144167Z,host,,1639216202120144167,/etc/pcp/pmlogger/lock,,,,pmlogctl /usr/bin/pmlogctl -m check,pmlogctl,systemd,-1,root,systemd rhgb --switched-root --system --deserialize 31,,,,,,,1,0,0,0,0,0
405,Error,Write below etc,syscall,"['filesystem', 'mitre_persistence']",2021-12-11T09:50:02.122984853Z,host,,1639216202122984853,/etc/pcp/pmie/lock,,,,pmiectl /usr/bin/pmiectl -m check,pmiectl,systemd,-1,root,systemd rhgb --switched-root --system --deserialize 31,,,,,,,1,0,0,0,0,0
406,Error,Write below etc,syscall,"['filesystem', 'mitre_persistence']",2021-12-13T14:30:05.363427281Z,host,,1639405805363427281,/etc/pcp/pmie/lock,,,,pmiectl /usr/bin/pmiectl -m check,pmiectl,systemd,-1,root,systemd rhgb --switched-root --system --deserialize 31,,,,,,,1,0,0,0,0,0
407,Error,Write below etc,syscall,"['filesystem', 'mitre_persistence']",2021-12-13T14:30:05.389478884Z,host,,1639405805389478884,/etc/pcp/pmlogger/lock,,,,pmlogctl /usr/bin/pmlogctl -m check,pmlogctl,systemd,-1,root,systemd rhgb --switched-root --system --deserialize 31,,,,,,,1,0,0,0,0,0
408,Warning,Read sensitive file untrusted,syscall,"['filesystem', 'mitre_credential_access', 'mitre_discovery']",2021-12-13T14:34:52.949639688Z,host,,1639406092949639688,/etc/shadow,systemd,,,systemd-userwor xxxxxxxxxxxxxxxx,systemd-userwor,systemd-userdbd,-1,root,,,,,,,,1,0,0,0,0,0
409,Warning,Read sensitive file untrusted,syscall,"['filesystem', 'mitre_credential_access', 'mitre_discovery']",2021-12-13T14:34:52.958549629Z,host,,1639406092958549629,/etc/shadow,systemd,,,systemd-userwor xxxxxxxxxxxxxxxx,systemd-userwor,systemd-userdbd,-1,root,,,,,,,,1,0,0,0,0,0
410,Error,Write below etc,syscall,"['filesystem', 'mitre_persistence']",2021-12-13T14:35:09.635032578Z,host,,1639406109635032578,/etc/pcp/pmie/lock,,,,pmiectl /usr/bin/pmiectl -m check,pmiectl,systemd,-1,root,systemd rhgb --switched-root --system --deserialize 31,,,,,,,1,0,0,0,0,0
411,Error,Write below etc,syscall,"['filesystem', 'mitre_persistence']",2021-12-13T14:35:09.663344493Z,host,,1639406109663344493,/etc/pcp/pmlogger/lock,,,,pmlogctl /usr/bin/pmlogctl -m check,pmlogctl,systemd,-1,root,systemd rhgb --switched-root --system --deserialize 31,,,,,,,1,0,0,0,0,0
412,Error,Write below etc,syscall,"['filesystem', 'mitre_persistence']",2021-12-13T14:40:14.811693511Z,host,,1639406414811693511,/etc/pcp/pmie/lock,,,,pmiectl /usr/bin/pmiectl -m check,pmiectl,systemd,-1,root,systemd rhgb --switched-root --system --deserialize 31,,,,,,,1,0,0,0,0,0
413,Error,Write below etc,syscall,"['filesystem', 'mitre_persistence']",2021-12-13T14:40:14.813950778Z,host,,1639406414813950778,/etc/pcp/pmlogger/lock,,,,pmlogctl /usr/bin/pmlogctl -m check,pmlogctl,systemd,-1,root,systemd rhgb --switched-root --system --deserialize 31,,,,,,,1,0,0,0,0,0
414,Error,Write below etc,syscall,"['filesystem', 'mitre_persistence']",2021-12-13T14:45:19.513635881Z,host,,1639406719513635881,/etc/pcp/pmlogger/lock,,,,pmlogctl /usr/bin/pmlogctl -m check,pmlogctl,systemd,-1,root,systemd rhgb --switched-root --system --deserialize 31,,,,,,,1,0,0,0,0,0
415,Error,Write below etc,syscall,"['filesystem', 'mitre_persistence']",2021-12-13T14:45:19.517591839Z,host,,1639406719517591839,/etc/pcp/pmie/lock,,,,pmiectl /usr/bin/pmiectl -m check,pmiectl,systemd,-1,root,systemd rhgb --switched-root --system --deserialize 31,,,,,,,1,0,0,0,0,0
416,Error,Write below etc,syscall,"['filesystem', 'mitre_persistence']",2021-12-13T14:50:21.929033063Z,host,,1639407021929033063,/etc/pcp/pmie/lock,,,,pmiectl /usr/bin/pmiectl -m check,pmiectl,systemd,-1,root,systemd rhgb --switched-root --system --deserialize 31,,,,,,,1,0,0,0,0,0
417,Error,Write below etc,syscall,"['filesystem', 'mitre_persistence']",2021-12-13T14:50:21.933286805Z,host,,1639407021933286805,/etc/pcp/pmlogger/lock,,,,pmlogctl /usr/bin/pmlogctl -m check,pmlogctl,systemd,-1,root,systemd rhgb --switched-root --system --deserialize 31,,,,,,,1,0,0,0,0,0
418,Error,Write below etc,syscall,"['filesystem', 'mitre_persistence']",2021-12-13T14:55:02.151494932Z,host,,1639407302151494932,/etc/pcp/pmlogger/lock,,,,pmlogctl /usr/bin/pmlogctl -m check,pmlogctl,systemd,-1,root,systemd rhgb --switched-root --system --deserialize 31,,,,,,,1,0,0,0,0,0
419,Error,Write below etc,syscall,"['filesystem', 'mitre_persistence']",2021-12-13T14:55:02.155829169Z,host,,1639407302155829169,/etc/pcp/pmie/lock,,,,pmiectl /usr/bin/pmiectl -m check,pmiectl,systemd,-1,root,systemd rhgb --switched-root --system --deserialize 31,,,,,,,1,0,0,0,0,0
420,Error,Write below etc,syscall,"['filesystem', 'mitre_persistence']",2021-12-13T15:00:06.501142739Z,host,,1639407606501142739,/etc/pcp/pmie/lock,,,,pmiectl /usr/bin/pmiectl -m check,pmiectl,systemd,-1,root,systemd rhgb --switched-root --system --deserialize 31,,,,,,,1,0,0,0,0,0
421,Error,Write below etc,syscall,"['filesystem', 'mitre_persistence']",2021-12-13T15:00:06.517573115Z,host,,1639407606517573115,/etc/pcp/pmlogger/lock,,,,pmlogctl /usr/bin/pmlogctl -m check,pmlogctl,systemd,-1,root,systemd rhgb --switched-root --system --deserialize 31,,,,,,,1,0,0,0,0,0
422,Error,Write below etc,syscall,"['filesystem', 'mitre_persistence']",2021-12-13T15:05:11.436395384Z,host,,1639407911436395384,/etc/pcp/pmie/lock,,,,pmiectl /usr/bin/pmiectl -m check,pmiectl,systemd,-1,root,systemd rhgb --switched-root --system --deserialize 31,,,,,,,1,0,0,0,0,0
423,Error,Write below etc,syscall,"['filesystem', 'mitre_persistence']",2021-12-13T15:05:11.450918540Z,host,,1639407911450918540,/etc/pcp/pmlogger/lock,,,,pmlogctl /usr/bin/pmlogctl -m check,pmlogctl,systemd,-1,root,systemd rhgb --switched-root --system --deserialize 31,,,,,,,1,0,0,0,0,0
424,Error,Write below etc,syscall,"['filesystem', 'mitre_persistence']",2021-12-13T15:10:16.360031612Z,host,,1639408216360031612,/etc/pcp/pmie/lock,,,,pmiectl /usr/bin/pmiectl -m check,pmiectl,systemd,-1,root,systemd rhgb --switched-root --system --deserialize 31,,,,,,,1,0,0,0,0,0
425,Error,Write below etc,syscall,"['filesystem', 'mitre_persistence']",2021-12-13T15:10:16.361585310Z,host,,1639408216361585310,/etc/pcp/pmlogger/lock,,,,pmlogctl /usr/bin/pmlogctl -m check,pmlogctl,systemd,-1,root,systemd rhgb --switched-root --system --deserialize 31,,,,,,,1,0,0,0,0,0
426,Error,Write below etc,syscall,"['filesystem', 'mitre_persistence']",2021-12-13T15:15:19.571952989Z,host,,1639408519571952989,/etc/pcp/pmlogger/lock,,,,pmlogctl /usr/bin/pmlogctl -m check,pmlogctl,systemd,-1,root,systemd rhgb --switched-root --system --deserialize 31,,,,,,,1,0,0,0,0,0
427,Error,Write below etc,syscall,"['filesystem', 'mitre_persistence']",2021-12-13T15:15:19.573650326Z,host,,1639408519573650326,/etc/pcp/pmie/lock,,,,pmiectl /usr/bin/pmiectl -m check,pmiectl,systemd,-1,root,systemd rhgb --switched-root --system --deserialize 31,,,,,,,1,0,0,0,0,0
428,Warning,Read sensitive file untrusted,syscall,"['filesystem', 'mitre_credential_access', 'mitre_discovery']",2021-12-13T15:15:41.091667132Z,host,,1639408541091667132,/etc/shadow,systemd,,,systemd-userwor xxxxxxxxxxxxxxxx,systemd-userwor,systemd-userdbd,-1,root,,,,,,,,1,0,0,0,0,0
429,Warning,Read sensitive file untrusted,syscall,"['filesystem', 'mitre_credential_access', 'mitre_discovery']",2021-12-13T15:15:41.105140956Z,host,,1639408541105140956,/etc/shadow,systemd,,,systemd-userwor xxxxxxxxxxxxxxxx,systemd-userwor,systemd-userdbd,-1,root,,,,,,,,1,0,0,0,0,0
430,Warning,Read sensitive file untrusted,syscall,"['filesystem', 'mitre_credential_access', 'mitre_discovery']",2021-12-13T15:16:47.275534641Z,host,,1639408607275534641,/etc/shadow,systemd,,,systemd-userwor xxxxxxxxxxxxxxxx,systemd-userwor,systemd-userdbd,-1,root,,,,,,,,1,0,0,0,0,0
431,Notice,Launch Sensitive Mount Container,syscall,"['cis', 'container', 'mitre_lateral_movement']",2021-12-13T15:16:53.601461775Z,f9097443020b,quay.io/prometheus/node-exporter,1639408613601461775,,,,,container:f9097443020b,,,0,root,,,,funny_jennings,,latest,"/:/host:ro,rslave:false:rslave",1,0,0,0,0,0
432,Warning,Read sensitive file untrusted,syscall,"['filesystem', 'mitre_credential_access', 'mitre_discovery']",2021-12-13T15:17:43.135731691Z,host,,1639408663135731691,/etc/shadow,systemd,,,systemd-userwor xxxxxxxxxxxxxxxx,systemd-userwor,systemd-userdbd,-1,root,,,,,,,,1,0,0,0,0,0
433,Error,Write below etc,syscall,"['filesystem', 'mitre_persistence']",2021-12-13T15:18:23.207761264Z,host,,1639408703207761264,/etc/prometheus/prometheus.yml,bash,sshd,sshd,nano /etc/prometheus/prometheus.yml,nano,sudo,1000,root,sudo nano /etc/prometheus/prometheus.yml,,,,,,,1,0,0,0,0,0
434,Notice,Launch Sensitive Mount Container,syscall,"['cis', 'container', 'mitre_lateral_movement']",2021-12-13T15:19:38.015918382Z,4090ba6d7486,quay.io/prometheus/node-exporter,1639408778015918382,,,,,container:4090ba6d7486,,,0,root,,,,node_exporter,,latest,/:/host:ro:false:rslave,1,0,0,0,0,0
435,Error,Write below etc,syscall,"['filesystem', 'mitre_persistence']",2021-12-13T15:20:01.072007029Z,host,,1639408801072007029,/etc/pcp/pmie/lock,,,,pmiectl /usr/bin/pmiectl -m check,pmiectl,systemd,-1,root,systemd rhgb --switched-root --system --deserialize 31,,,,,,,1,0,0,0,0,0
